Keyword,	Tag,	Category,	Occurrence
lane management,Planner,ML/Design,124
lane management-trajectory planning- software issue,Software,System,37
lane management- control handover- software issue,Software,System,28
object detection- proximity management,Planner,ML/Design,1
control handover- software issue,Software,System,1
lane management- object detection-proximity management,Planner,ML/Design,211
software issue,Software,System,4
lane management,Planner,ML/Design,1
lane management,Planner,ML/Design,82
lane management,Planner,ML/Design,123
lane management- control handover,AV Controller,System / ML/Design,4
Exit/merge lane,Recognition System,ML/Design,15
lane management,Planner,ML/Design,36
lane management- object detection,Recognition System,ML/Design,13
