Keyword, Fault Tag,	Failure Category, Occurrences

Inaccurate road perception,	Recognition System,	ML/Design, 3
Inaccurate car detection, Recognition System,ML/Design,19
Inaccurate path intent,	Planner,	ML/Design,1
Inaccurate path planning,	Planner,	ML/Design,103
Inaccurate object detection,	Recognition System,	ML/Design,6
Inaccurate road lines perception,	Recognition System,	ML/Design,12
Construction area,Environment,	ML/Design,13
Inaccurate decision making,	AV Controller,	ML/Design,18
Inaccurate traffic sign detection,	Recognition System,	ML/Design,5
Passing car on red light,	Planner,	ML/Design,1
Inaccurate traffic light detection,	Recognition System,	ML/Design,6


